kernel_name,shape_hash,config_hash,config,shape_features,timing_ms
attention,a1ec483c2a67f891,f1dda601fe248341,"{""block_sizes"": [1, 128, 64], ""loop_orders"": [[1, 0]], ""l2_groupings"": [1], ""range_unroll_factors"": [0, 4], ""range_warp_specializes"": [null, false], ""range_num_stages"": [0, 4], ""range_multi_buffers"": [null, null], ""range_flattens"": [null, null], ""load_eviction_policies"": [""first"", """", """"], ""num_warps"": 4, ""num_stages"": 3, ""indexing"": [""tensor_descriptor"", ""pointer"", ""tensor_descriptor"", ""tensor_descriptor""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 2048, ""arg0_dim3"": 64, ""arg0_numel"": 16777216, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 2048, ""arg1_dim3"": 64, ""arg1_numel"": 16777216, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 2048, ""arg2_dim3"": 64, ""arg2_numel"": 16777216, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",0.38307198882102966
attention,a1ec483c2a67f891,3265e0895ba56199,"{""block_sizes"": [1, 128, 64], ""loop_orders"": [[1, 0]], ""l2_groupings"": [8], ""range_unroll_factors"": [0, 1], ""range_warp_specializes"": [null, false], ""range_num_stages"": [0, 2], ""range_multi_buffers"": [null, null], ""range_flattens"": [null, true], ""load_eviction_policies"": ["""", """", ""first""], ""num_warps"": 8, ""num_stages"": 3, ""indexing"": [""tensor_descriptor"", ""tensor_descriptor"", ""pointer"", ""tensor_descriptor""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 2048, ""arg0_dim3"": 64, ""arg0_numel"": 16777216, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 2048, ""arg1_dim3"": 64, ""arg1_numel"": 16777216, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 2048, ""arg2_dim3"": 64, ""arg2_numel"": 16777216, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",0.42393600940704346
attention,a1ec483c2a67f891,18cd65d1f263c609,"{""block_sizes"": [1, 128, 64], ""loop_orders"": [[1, 0]], ""l2_groupings"": [8], ""range_unroll_factors"": [0, 4], ""range_warp_specializes"": [null, null], ""range_num_stages"": [0, 3], ""range_multi_buffers"": [null, true], ""range_flattens"": [null, true], ""load_eviction_policies"": [""first"", ""first"", ""last""], ""num_warps"": 8, ""num_stages"": 3, ""indexing"": [""tensor_descriptor"", ""pointer"", ""tensor_descriptor"", ""pointer""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 2048, ""arg0_dim3"": 64, ""arg0_numel"": 16777216, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 2048, ""arg1_dim3"": 64, ""arg1_numel"": 16777216, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 2048, ""arg2_dim3"": 64, ""arg2_numel"": 16777216, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",0.42396798729896545
attention,a87a3388d12a5969,1424d8a662dc60cf,"{""block_sizes"": [1, 128, 128], ""loop_orders"": [[0, 1]], ""l2_groupings"": [32], ""range_unroll_factors"": [0, 2], ""range_warp_specializes"": [null, false], ""range_num_stages"": [0, 3], ""range_multi_buffers"": [null, false], ""range_flattens"": [null, false], ""load_eviction_policies"": [""first"", ""last"", ""first""], ""num_warps"": 4, ""num_stages"": 3, ""indexing"": [""pointer"", ""pointer"", ""pointer"", ""tensor_descriptor""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 4096, ""arg0_dim3"": 64, ""arg0_numel"": 33554432, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 4096, ""arg1_dim3"": 64, ""arg1_numel"": 33554432, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 4096, ""arg2_dim3"": 64, ""arg2_numel"": 33554432, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",1.1643840074539185
attention,a87a3388d12a5969,29135c77b970e281,"{""block_sizes"": [1, 128, 128], ""loop_orders"": [[0, 1]], ""l2_groupings"": [32], ""range_unroll_factors"": [0, 4], ""range_warp_specializes"": [null, false], ""range_num_stages"": [0, 4], ""range_multi_buffers"": [null, null], ""range_flattens"": [null, false], ""load_eviction_policies"": [""first"", """", ""first""], ""num_warps"": 4, ""num_stages"": 3, ""indexing"": [""tensor_descriptor"", ""pointer"", ""pointer"", ""tensor_descriptor""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 4096, ""arg0_dim3"": 64, ""arg0_numel"": 33554432, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 4096, ""arg1_dim3"": 64, ""arg1_numel"": 33554432, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 4096, ""arg2_dim3"": 64, ""arg2_numel"": 33554432, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",1.1644480228424072
attention,a87a3388d12a5969,71d98cc073b6f9c7,"{""block_sizes"": [1, 128, 128], ""loop_orders"": [[0, 1]], ""l2_groupings"": [32], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": [null, null], ""range_num_stages"": [0, 2], ""range_multi_buffers"": [null, true], ""range_flattens"": [null, true], ""load_eviction_policies"": [""first"", ""last"", ""first""], ""num_warps"": 4, ""num_stages"": 3, ""indexing"": [""tensor_descriptor"", ""tensor_descriptor"", ""pointer"", ""tensor_descriptor""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 4096, ""arg0_dim3"": 64, ""arg0_numel"": 33554432, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 4096, ""arg1_dim3"": 64, ""arg1_numel"": 33554432, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 4096, ""arg2_dim3"": 64, ""arg2_numel"": 33554432, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",1.1652799844741821
attention,a87a3388d12a5969,fa0e6212d9dfaba1,"{""block_sizes"": [1, 128, 128], ""loop_orders"": [[1, 0]], ""l2_groupings"": [1], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": [null, null], ""range_num_stages"": [0, 3], ""range_multi_buffers"": [null, null], ""range_flattens"": [null, true], ""load_eviction_policies"": ["""", ""last"", ""first""], ""num_warps"": 4, ""num_stages"": 3, ""indexing"": [""tensor_descriptor"", ""tensor_descriptor"", ""tensor_descriptor"", ""tensor_descriptor""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 4096, ""arg0_dim3"": 64, ""arg0_numel"": 33554432, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 4096, ""arg1_dim3"": 64, ""arg1_numel"": 33554432, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 4096, ""arg2_dim3"": 64, ""arg2_numel"": 33554432, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",1.1664639711380005
attention,a87a3388d12a5969,018f3cbb5fbec2b3,"{""block_sizes"": [1, 128, 128], ""loop_orders"": [[0, 1]], ""l2_groupings"": [32], ""range_unroll_factors"": [0, 4], ""range_warp_specializes"": [null, null], ""range_num_stages"": [0, 2], ""range_multi_buffers"": [null, false], ""range_flattens"": [null, true], ""load_eviction_policies"": ["""", """", ""first""], ""num_warps"": 4, ""num_stages"": 3, ""indexing"": [""pointer"", ""tensor_descriptor"", ""pointer"", ""tensor_descriptor""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 4096, ""arg0_dim3"": 64, ""arg0_numel"": 33554432, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 4096, ""arg1_dim3"": 64, ""arg1_numel"": 33554432, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 4096, ""arg2_dim3"": 64, ""arg2_numel"": 33554432, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",1.1640640497207642
attention,a87a3388d12a5969,4412520d00f6fe18,"{""block_sizes"": [1, 128, 64], ""loop_orders"": [[0, 1]], ""l2_groupings"": [16], ""range_unroll_factors"": [1, 0], ""range_warp_specializes"": [null, null], ""range_num_stages"": [0, 3], ""range_multi_buffers"": [true, false], ""range_flattens"": [false, false], ""load_eviction_policies"": ["""", ""last"", ""first""], ""num_warps"": 4, ""num_stages"": 4, ""indexing"": [""pointer"", ""pointer"", ""pointer"", ""pointer""], ""atomic_indexing"": [], ""pid_type"": ""persistent_interleaved"", ""num_sm_multiplier"": 2}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 4096, ""arg0_dim3"": 64, ""arg0_numel"": 33554432, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 4096, ""arg1_dim3"": 64, ""arg1_numel"": 33554432, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 4096, ""arg2_dim3"": 64, ""arg2_numel"": 33554432, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",1.3976479768753052
attention,a87a3388d12a5969,8b544d6ab595df36,"{""block_sizes"": [1, 128, 64], ""loop_orders"": [[1, 0]], ""l2_groupings"": [8], ""range_unroll_factors"": [0, 3], ""range_warp_specializes"": [null, null], ""range_num_stages"": [0, 3], ""range_multi_buffers"": [null, true], ""range_flattens"": [null, true], ""load_eviction_policies"": ["""", ""first"", ""last""], ""num_warps"": 8, ""num_stages"": 3, ""indexing"": [""pointer"", ""pointer"", ""tensor_descriptor"", ""pointer""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 4096, ""arg0_dim3"": 64, ""arg0_numel"": 33554432, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 4096, ""arg1_dim3"": 64, ""arg1_numel"": 33554432, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 4096, ""arg2_dim3"": 64, ""arg2_numel"": 33554432, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",1.6108800172805786
attention,a87a3388d12a5969,f1dda601fe248341,"{""block_sizes"": [1, 128, 64], ""loop_orders"": [[1, 0]], ""l2_groupings"": [1], ""range_unroll_factors"": [0, 4], ""range_warp_specializes"": [null, false], ""range_num_stages"": [0, 4], ""range_multi_buffers"": [null, null], ""range_flattens"": [null, null], ""load_eviction_policies"": [""first"", """", """"], ""num_warps"": 4, ""num_stages"": 3, ""indexing"": [""tensor_descriptor"", ""pointer"", ""tensor_descriptor"", ""tensor_descriptor""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 4096, ""arg0_dim3"": 64, ""arg0_numel"": 33554432, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 4096, ""arg1_dim3"": 64, ""arg1_numel"": 33554432, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 4096, ""arg2_dim3"": 64, ""arg2_numel"": 33554432, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",1.4590400457382202
attention,a87a3388d12a5969,3265e0895ba56199,"{""block_sizes"": [1, 128, 64], ""loop_orders"": [[1, 0]], ""l2_groupings"": [8], ""range_unroll_factors"": [0, 1], ""range_warp_specializes"": [null, false], ""range_num_stages"": [0, 2], ""range_multi_buffers"": [null, null], ""range_flattens"": [null, true], ""load_eviction_policies"": ["""", """", ""first""], ""num_warps"": 8, ""num_stages"": 3, ""indexing"": [""tensor_descriptor"", ""tensor_descriptor"", ""pointer"", ""tensor_descriptor""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 4096, ""arg0_dim3"": 64, ""arg0_numel"": 33554432, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 4096, ""arg1_dim3"": 64, ""arg1_numel"": 33554432, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 4096, ""arg2_dim3"": 64, ""arg2_numel"": 33554432, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",1.61080002784729
attention,a87a3388d12a5969,18cd65d1f263c609,"{""block_sizes"": [1, 128, 64], ""loop_orders"": [[1, 0]], ""l2_groupings"": [8], ""range_unroll_factors"": [0, 4], ""range_warp_specializes"": [null, null], ""range_num_stages"": [0, 3], ""range_multi_buffers"": [null, true], ""range_flattens"": [null, true], ""load_eviction_policies"": [""first"", ""first"", ""last""], ""num_warps"": 8, ""num_stages"": 3, ""indexing"": [""tensor_descriptor"", ""pointer"", ""tensor_descriptor"", ""pointer""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 4096, ""arg0_dim3"": 64, ""arg0_numel"": 33554432, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 4096, ""arg1_dim3"": 64, ""arg1_numel"": 33554432, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 4096, ""arg2_dim3"": 64, ""arg2_numel"": 33554432, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",1.6107840538024902
attention,1441d2da71eedf40,1424d8a662dc60cf,"{""block_sizes"": [1, 128, 128], ""loop_orders"": [[0, 1]], ""l2_groupings"": [32], ""range_unroll_factors"": [0, 2], ""range_warp_specializes"": [null, false], ""range_num_stages"": [0, 3], ""range_multi_buffers"": [null, false], ""range_flattens"": [null, false], ""load_eviction_policies"": [""first"", ""last"", ""first""], ""num_warps"": 4, ""num_stages"": 3, ""indexing"": [""pointer"", ""pointer"", ""pointer"", ""tensor_descriptor""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 8192, ""arg0_dim3"": 64, ""arg0_numel"": 67108864, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 8192, ""arg1_dim3"": 64, ""arg1_numel"": 67108864, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 8192, ""arg2_dim3"": 64, ""arg2_numel"": 67108864, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",4.793439865112305
attention,1441d2da71eedf40,29135c77b970e281,"{""block_sizes"": [1, 128, 128], ""loop_orders"": [[0, 1]], ""l2_groupings"": [32], ""range_unroll_factors"": [0, 4], ""range_warp_specializes"": [null, false], ""range_num_stages"": [0, 4], ""range_multi_buffers"": [null, null], ""range_flattens"": [null, false], ""load_eviction_policies"": [""first"", """", ""first""], ""num_warps"": 4, ""num_stages"": 3, ""indexing"": [""tensor_descriptor"", ""pointer"", ""pointer"", ""tensor_descriptor""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 8192, ""arg0_dim3"": 64, ""arg0_numel"": 67108864, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 8192, ""arg1_dim3"": 64, ""arg1_numel"": 67108864, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 8192, ""arg2_dim3"": 64, ""arg2_numel"": 67108864, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",4.834847927093506
attention,1441d2da71eedf40,71d98cc073b6f9c7,"{""block_sizes"": [1, 128, 128], ""loop_orders"": [[0, 1]], ""l2_groupings"": [32], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": [null, null], ""range_num_stages"": [0, 2], ""range_multi_buffers"": [null, true], ""range_flattens"": [null, true], ""load_eviction_policies"": [""first"", ""last"", ""first""], ""num_warps"": 4, ""num_stages"": 3, ""indexing"": [""tensor_descriptor"", ""tensor_descriptor"", ""pointer"", ""tensor_descriptor""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 8192, ""arg0_dim3"": 64, ""arg0_numel"": 67108864, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 8192, ""arg1_dim3"": 64, ""arg1_numel"": 67108864, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 8192, ""arg2_dim3"": 64, ""arg2_numel"": 67108864, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",4.794879913330078
attention,1441d2da71eedf40,fa0e6212d9dfaba1,"{""block_sizes"": [1, 128, 128], ""loop_orders"": [[1, 0]], ""l2_groupings"": [1], ""range_unroll_factors"": [0, 0], ""range_warp_specializes"": [null, null], ""range_num_stages"": [0, 3], ""range_multi_buffers"": [null, null], ""range_flattens"": [null, true], ""load_eviction_policies"": ["""", ""last"", ""first""], ""num_warps"": 4, ""num_stages"": 3, ""indexing"": [""tensor_descriptor"", ""tensor_descriptor"", ""tensor_descriptor"", ""tensor_descriptor""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 8192, ""arg0_dim3"": 64, ""arg0_numel"": 67108864, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 8192, ""arg1_dim3"": 64, ""arg1_numel"": 67108864, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 8192, ""arg2_dim3"": 64, ""arg2_numel"": 67108864, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",4.696000099182129
attention,1441d2da71eedf40,018f3cbb5fbec2b3,"{""block_sizes"": [1, 128, 128], ""loop_orders"": [[0, 1]], ""l2_groupings"": [32], ""range_unroll_factors"": [0, 4], ""range_warp_specializes"": [null, null], ""range_num_stages"": [0, 2], ""range_multi_buffers"": [null, false], ""range_flattens"": [null, true], ""load_eviction_policies"": ["""", """", ""first""], ""num_warps"": 4, ""num_stages"": 3, ""indexing"": [""pointer"", ""tensor_descriptor"", ""pointer"", ""tensor_descriptor""], ""atomic_indexing"": [], ""pid_type"": ""flat""}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 8192, ""arg0_dim3"": 64, ""arg0_numel"": 67108864, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 8192, ""arg1_dim3"": 64, ""arg1_numel"": 67108864, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 8192, ""arg2_dim3"": 64, ""arg2_numel"": 67108864, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",4.920864105224609
attention,1441d2da71eedf40,4412520d00f6fe18,"{""block_sizes"": [1, 128, 64], ""loop_orders"": [[0, 1]], ""l2_groupings"": [16], ""range_unroll_factors"": [1, 0], ""range_warp_specializes"": [null, null], ""range_num_stages"": [0, 3], ""range_multi_buffers"": [true, false], ""range_flattens"": [false, false], ""load_eviction_policies"": ["""", ""last"", ""first""], ""num_warps"": 4, ""num_stages"": 4, ""indexing"": [""pointer"", ""pointer"", ""pointer"", ""pointer""], ""atomic_indexing"": [], ""pid_type"": ""persistent_interleaved"", ""num_sm_multiplier"": 2}","{""arg0_ndim"": 4, ""arg0_dim0"": 4, ""arg0_dim1"": 32, ""arg0_dim2"": 8192, ""arg0_dim3"": 64, ""arg0_numel"": 67108864, ""arg0_dtype"": ""torch.float16"", ""arg0_dtype_size"": 2, ""arg0_dtype_cat"": 2, ""arg1_ndim"": 4, ""arg1_dim0"": 4, ""arg1_dim1"": 32, ""arg1_dim2"": 8192, ""arg1_dim3"": 64, ""arg1_numel"": 67108864, ""arg1_dtype"": ""torch.float16"", ""arg1_dtype_size"": 2, ""arg1_dtype_cat"": 2, ""arg2_ndim"": 4, ""arg2_dim0"": 4, ""arg2_dim1"": 32, ""arg2_dim2"": 8192, ""arg2_dim3"": 64, ""arg2_numel"": 67108864, ""arg2_dtype"": ""torch.float16"", ""arg2_dtype_size"": 2, ""arg2_dtype_cat"": 2}",5.449728012084961
